,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
PATT0000198,,True,,,,,,True,True,,,,
PATT0000199,,True,,,,,,True,,True,,,
PATT0000200,,True,,,,,,True,,,True,,
PATT0000201,,True,,,,,,True,,,,True,
PATT0000202,,True,,,,,,True,,,,,True
PATT0000203,,True,,,,,,,True,True,,,
PATT0000204,,True,,,,,,,True,,True,,
PATT0000205,,True,,,,,,,True,,,True,
PATT0000206,,True,,,,,,,True,,,,True
PATT0000207,,True,,,,,,,,True,True,,
PATT0000208,,True,,,,,,,,True,,True,
PATT0000209,,True,,,,,,,,True,,,True
PATT0000210,,True,,,,,,,,,True,True,
PATT0000211,,True,,,,,,,,,True,,True
PATT0000212,,True,,,,,,,,,,True,True
PATT0000213,,,True,True,True,,,,,,,,
PATT0000214,,,True,True,,True,,,,,,,
PATT0000215,,,True,True,,,True,,,,,,
PATT0000216,,,True,True,,,,True,,,,,
PATT0000217,,,True,True,,,,,True,,,,
PATT0000218,,,True,True,,,,,,True,,,
PATT0000219,,,True,True,,,,,,,True,,
PATT0000220,,,True,True,,,,,,,,True,
PATT0000221,,,True,True,,,,,,,,,True
PATT0000222,,,True,,True,True,,,,,,,
PATT0000223,,,True,,True,,True,,,,,,
PATT0000224,,,True,,True,,,True,,,,,
PATT0000225,,,True,,True,,,,True,,,,
PATT0000226,,,True,,True,,,,,True,,,
PATT0000227,,,True,,True,,,,,,True,,
PATT0000228,,,True,,True,,,,,,,True,
PATT0000229,,,True,,True,,,,,,,,True
PATT0000230,,,True,,,True,True,,,,,,
PATT0000231,,,True,,,True,,True,,,,,
PATT0000232,,,True,,,True,,,True,,,,
PATT0000233,,,True,,,True,,,,True,,,
PATT0000234,,,True,,,True,,,,,True,,
PATT0000235,,,True,,,True,,,,,,True,
PATT0000236,,,True,,,True,,,,,,,True
PATT0000237,,,True,,,,True,True,,,,,
PATT0000238,,,True,,,,True,,True,,,,
PATT0000239,,,True,,,,True,,,True,,,
PATT0000240,,,True,,,,True,,,,True,,
PATT0000241,,,True,,,,True,,,,,True,
PATT0000242,,,True,,,,True,,,,,,True
PATT0000243,,,True,,,,,True,True,,,,
PATT0000244,,,True,,,,,True,,True,,,
PATT0000245,,,True,,,,,True,,,True,,
PATT0000246,,,True,,,,,True,,,,True,
PATT0000247,,,True,,,,,True,,,,,True
PATT0000248,,,True,,,,,,True,True,,,
PATT0000249,,,True,,,,,,True,,True,,
PATT0000250,,,True,,,,,,True,,,True,
PATT0000251,,,True,,,,,,True,,,,True
PATT0000252,,,True,,,,,,,True,True,,
PATT0000253,,,True,,,,,,,True,,True,
PATT0000254,,,True,,,,,,,True,,,True
PATT0000255,,,True,,,,,,,,True,True,
PATT0000256,,,True,,,,,,,,True,,True
PATT0000257,,,True,,,,,,,,,True,True
PATT0000258,,,,True,True,True,,,,,,,
PATT0000259,,,,True,True,,True,,,,,,
PATT0000260,,,,True,True,,,True,,,,,
PATT0000261,,,,True,True,,,,True,,,,
PATT0000262,,,,True,True,,,,,True,,,
PATT0000263,,,,True,True,,,,,,True,,
PATT0000264,,,,True,True,,,,,,,True,
PATT0000265,,,,True,True,,,,,,,,True
PATT0000266,,,,True,,True,True,,,,,,
PATT0000267,,,,True,,True,,True,,,,,
PATT0000268,,,,True,,True,,,True,,,,
PATT0000269,,,,True,,True,,,,True,,,
PATT0000270,,,,True,,True,,,,,True,,
PATT0000271,,,,True,,True,,,,,,True,
PATT0000272,,,,True,,True,,,,,,,True
PATT0000273,,,,True,,,True,True,,,,,
PATT0000274,,,,True,,,True,,True,,,,
PATT0000275,,,,True,,,True,,,True,,,
PATT0000276,,,,True,,,True,,,,True,,
PATT0000277,,,,True,,,True,,,,,True,
PATT0000278,,,,True,,,True,,,,,,True
PATT0000279,,,,True,,,,True,True,,,,
PATT0000280,,,,True,,,,True,,True,,,
PATT0000281,,,,True,,,,True,,,True,,
PATT0000282,,,,True,,,,True,,,,True,
PATT0000283,,,,True,,,,True,,,,,True
PATT0000284,,,,True,,,,,True,True,,,
PATT0000285,,,,True,,,,,True,,True,,
PATT0000286,,,,True,,,,,True,,,True,
PATT0000287,,,,True,,,,,True,,,,True
PATT0000288,,,,True,,,,,,True,True,,
PATT0000289,,,,True,,,,,,True,,True,
PATT0000290,,,,True,,,,,,True,,,True
PATT0000291,,,,True,,,,,,,True,True,
PATT0000292,,,,True,,,,,,,True,,True
PATT0000293,,,,True,,,,,,,,True,True
PATT0000294,,,,,True,True,True,,,,,,
PATT0000295,,,,,True,True,,True,,,,,
PATT0000296,,,,,True,True,,,True,,,,
PATT0000297,,,,,True,True,,,,True,,,
PATT0000298,,,,,True,True,,,,,True,,
PATT0000299,,,,,True,True,,,,,,True,
PATT0000300,,,,,True,True,,,,,,,True
PATT0000301,,,,,True,,True,True,,,,,
PATT0000302,,,,,True,,True,,True,,,,
PATT0000303,,,,,True,,True,,,True,,,
PATT0000304,,,,,True,,True,,,,True,,
PATT0000305,,,,,True,,True,,,,,True,
PATT0000306,,,,,True,,True,,,,,,True
PATT0000307,,,,,True,,,True,True,,,,
PATT0000308,,,,,True,,,True,,True,,,
PATT0000309,,,,,True,,,True,,,True,,
PATT0000310,,,,,True,,,True,,,,True,
PATT0000311,,,,,True,,,True,,,,,True
PATT0000312,,,,,True,,,,True,True,,,
PATT0000313,,,,,True,,,,True,,True,,
PATT0000314,,,,,True,,,,True,,,True,
PATT0000315,,,,,True,,,,True,,,,True
PATT0000316,,,,,True,,,,,True,True,,
PATT0000317,,,,,True,,,,,True,,True,
PATT0000318,,,,,True,,,,,True,,,True
PATT0000319,,,,,True,,,,,,True,True,
PATT0000320,,,,,True,,,,,,True,,True
PATT0000321,,,,,True,,,,,,,True,True
PATT0000322,,,,,,True,True,True,,,,,
PATT0000323,,,,,,True,True,,True,,,,
PATT0000324,,,,,,True,True,,,True,,,
PATT0000325,,,,,,True,True,,,,True,,
PATT0000326,,,,,,True,True,,,,,True,
PATT0000327,,,,,,True,True,,,,,,True
PATT0000328,,,,,,True,,True,True,,,,
PATT0000329,,,,,,True,,True,,True,,,
PATT0000330,,,,,,True,,True,,,True,,
PATT0000331,,,,,,True,,True,,,,True,
PATT0000332,,,,,,True,,True,,,,,True
PATT0000333,,,,,,True,,,True,True,,,
PATT0000334,,,,,,True,,,True,,True,,
PATT0000335,,,,,,True,,,True,,,True,
PATT0000336,,,,,,True,,,True,,,,True
PATT0000337,,,,,,True,,,,True,True,,
PATT0000338,,,,,,True,,,,True,,True,
PATT0000339,,,,,,True,,,,True,,,True
PATT0000340,,,,,,True,,,,,True,True,
PATT0000341,,,,,,True,,,,,True,,True
PATT0000342,,,,,,True,,,,,,True,True
PATT0000343,,,,,,,True,True,True,,,,
PATT0000344,,,,,,,True,True,,True,,,
PATT0000345,,,,,,,True,True,,,True,,
PATT0000346,,,,,,,True,True,,,,True,
PATT0000347,,,,,,,True,True,,,,,True
PATT0000348,,,,,,,True,,True,True,,,
PATT0000349,,,,,,,True,,True,,True,,
PATT0000350,,,,,,,True,,True,,,True,
PATT0000351,,,,,,,True,,True,,,,True
PATT0000352,,,,,,,True,,,True,True,,
PATT0000353,,,,,,,True,,,True,,True,
PATT0000354,,,,,,,True,,,True,,,True
PATT0000355,,,,,,,True,,,,True,True,
PATT0000356,,,,,,,True,,,,True,,True
PATT0000357,,,,,,,True,,,,,True,True
PATT0000358,,,,,,,,True,True,True,,,
PATT0000359,,,,,,,,True,True,,True,,
PATT0000360,,,,,,,,True,True,,,True,
PATT0000361,,,,,,,,True,True,,,,True
PATT0000362,,,,,,,,True,,True,True,,
PATT0000363,,,,,,,,True,,True,,True,
PATT0000364,,,,,,,,True,,True,,,True
PATT0000365,,,,,,,,True,,,True,True,
PATT0000366,,,,,,,,True,,,True,,True
PATT0000367,,,,,,,,True,,,,True,True
PATT0000368,,,,,,,,,True,True,True,,
PATT0000369,,,,,,,,,True,True,,True,
PATT0000370,,,,,,,,,True,True,,,True
PATT0000371,,,,,,,,,True,,True,True,
PATT0000372,,,,,,,,,True,,True,,True
PATT0000373,,,,,,,,,True,,,True,True
PATT0000374,,,,,,,,,,True,True,True,
PATT0000375,,,,,,,,,,True,True,,True
PATT0000376,,,,,,,,,,True,,True,True
PATT0000377,,,,,,,,,,,True,True,True
PATT0000378,True,True,True,True,,,,,,,,,
PATT0000379,True,True,True,,True,,,,,,,,
PATT0000380,True,True,True,,,True,,,,,,,
PATT0000381,True,True,True,,,,True,,,,,,
PATT0000382,True,True,True,,,,,True,,,,,
PATT0000383,True,True,True,,,,,,True,,,,
PATT0000384,True,True,True,,,,,,,True,,,
PATT0000385,True,True,True,,,,,,,,True,,
PATT0000386,True,True,True,,,,,,,,,True,
PATT0000387,True,True,True,,,,,,,,,,True
PATT0000388,True,True,,True,True,,,,,,,,
PATT0000389,True,True,,True,,True,,,,,,,
PATT0000390,True,True,,True,,,True,,,,,,
PATT0000391,True,True,,True,,,,True,,,,,
PATT0000392,True,True,,True,,,,,True,,,,
PATT0000393,True,True,,True,,,,,,True,,,
PATT0000394,True,True,,True,,,,,,,True,,
PATT0000395,True,True,,True,,,,,,,,True,
PATT0000396,True,True,,True,,,,,,,,,True
PATT0000397,True,True,,,True,True,,,,,,,
PATT0000398,True,True,,,True,,True,,,,,,
PATT0000399,True,True,,,True,,,True,,,,,
PATT0000400,True,True,,,True,,,,True,,,,
PATT0000401,True,True,,,True,,,,,True,,,
PATT0000402,True,True,,,True,,,,,,True,,
PATT0000403,True,True,,,True,,,,,,,True,
PATT0000404,True,True,,,True,,,,,,,,True
PATT0000405,True,True,,,,True,True,,,,,,
PATT0000406,True,True,,,,True,,True,,,,,
PATT0000407,True,True,,,,True,,,True,,,,
PATT0000408,True,True,,,,True,,,,True,,,
PATT0000409,True,True,,,,True,,,,,True,,
PATT0000410,True,True,,,,True,,,,,,True,
PATT0000411,True,True,,,,True,,,,,,,True
PATT0000412,True,True,,,,,True,True,,,,,
PATT0000413,True,True,,,,,True,,True,,,,
PATT0000414,True,True,,,,,True,,,True,,,
PATT0000415,True,True,,,,,True,,,,True,,
PATT0000416,True,True,,,,,True,,,,,True,
PATT0000417,True,True,,,,,True,,,,,,True
PATT0000418,True,True,,,,,,True,True,,,,
PATT0000419,True,True,,,,,,True,,True,,,
PATT0000420,True,True,,,,,,True,,,True,,
PATT0000421,True,True,,,,,,True,,,,True,
PATT0000422,True,True,,,,,,True,,,,,True
PATT0000423,True,True,,,,,,,True,True,,,
PATT0000424,True,True,,,,,,,True,,True,,
PATT0000425,True,True,,,,,,,True,,,True,
PATT0000426,True,True,,,,,,,True,,,,True
PATT0000427,True,True,,,,,,,,True,True,,
PATT0000428,True,True,,,,,,,,True,,True,
PATT0000429,True,True,,,,,,,,True,,,True
PATT0000430,True,True,,,,,,,,,True,True,
PATT0000431,True,True,,,,,,,,,True,,True
PATT0000432,True,True,,,,,,,,,,True,True
PATT0000433,True,,True,True,True,,,,,,,,
PATT0000434,True,,True,True,,True,,,,,,,
PATT0000435,True,,True,True,,,True,,,,,,
PATT0000436,True,,True,True,,,,True,,,,,
PATT0000437,True,,True,True,,,,,True,,,,
PATT0000438,True,,True,True,,,,,,True,,,
PATT0000439,True,,True,True,,,,,,,True,,
PATT0000440,True,,True,True,,,,,,,,True,
PATT0000441,True,,True,True,,,,,,,,,True
PATT0000442,True,,True,,True,True,,,,,,,
PATT0000443,True,,True,,True,,True,,,,,,
PATT0000444,True,,True,,True,,,True,,,,,
PATT0000445,True,,True,,True,,,,True,,,,
PATT0000446,True,,True,,True,,,,,True,,,
PATT0000447,True,,True,,True,,,,,,True,,
PATT0000448,True,,True,,True,,,,,,,True,
PATT0000449,True,,True,,True,,,,,,,,True
PATT0000450,True,,True,,,True,True,,,,,,
PATT0000451,True,,True,,,True,,True,,,,,
PATT0000452,True,,True,,,True,,,True,,,,
PATT0000453,True,,True,,,True,,,,True,,,
PATT0000454,True,,True,,,True,,,,,True,,
PATT0000455,True,,True,,,True,,,,,,True,
PATT0000456,True,,True,,,True,,,,,,,True
PATT0000457,True,,True,,,,True,True,,,,,
PATT0000458,True,,True,,,,True,,True,,,,
PATT0000459,True,,True,,,,True,,,True,,,
PATT0000460,True,,True,,,,True,,,,True,,
PATT0000461,True,,True,,,,True,,,,,True,
PATT0000462,True,,True,,,,True,,,,,,True
PATT0000463,True,,True,,,,,True,True,,,,
PATT0000464,True,,True,,,,,True,,True,,,
PATT0000465,True,,True,,,,,True,,,True,,
PATT0000466,True,,True,,,,,True,,,,True,
PATT0000467,True,,True,,,,,True,,,,,True
PATT0000468,True,,True,,,,,,True,True,,,
PATT0000469,True,,True,,,,,,True,,True,,
PATT0000470,True,,True,,,,,,True,,,True,
PATT0000471,True,,True,,,,,,True,,,,True
PATT0000472,True,,True,,,,,,,True,True,,
PATT0000473,True,,True,,,,,,,True,,True,
PATT0000474,True,,True,,,,,,,True,,,True
PATT0000475,True,,True,,,,,,,,True,True,
PATT0000476,True,,True,,,,,,,,True,,True
PATT0000477,True,,True,,,,,,,,,True,True
PATT0000478,True,,,True,True,True,,,,,,,
PATT0000479,True,,,True,True,,True,,,,,,
PATT0000480,True,,,True,True,,,True,,,,,
PATT0000481,True,,,True,True,,,,True,,,,
PATT0000482,True,,,True,True,,,,,True,,,
PATT0000483,True,,,True,True,,,,,,True,,
PATT0000484,True,,,True,True,,,,,,,True,
PATT0000485,True,,,True,True,,,,,,,,True
PATT0000486,True,,,True,,True,True,,,,,,
PATT0000487,True,,,True,,True,,True,,,,,
PATT0000488,True,,,True,,True,,,True,,,,
PATT0000489,True,,,True,,True,,,,True,,,
PATT0000490,True,,,True,,True,,,,,True,,
PATT0000491,True,,,True,,True,,,,,,True,
PATT0000492,True,,,True,,True,,,,,,,True
PATT0000493,True,,,True,,,True,True,,,,,
PATT0000494,True,,,True,,,True,,True,,,,
PATT0000495,True,,,True,,,True,,,True,,,
PATT0000496,True,,,True,,,True,,,,True,,
PATT0000497,True,,,True,,,True,,,,,True,
PATT0000498,True,,,True,,,True,,,,,,True
PATT0000499,True,,,True,,,,True,True,,,,
PATT0000500,True,,,True,,,,True,,True,,,
PATT0000501,True,,,True,,,,True,,,True,,
PATT0000502,True,,,True,,,,True,,,,True,
PATT0000503,True,,,True,,,,True,,,,,True
PATT0000504,True,,,True,,,,,True,True,,,
PATT0000505,True,,,True,,,,,True,,True,,
PATT0000506,True,,,True,,,,,True,,,True,
PATT0000507,True,,,True,,,,,True,,,,True
PATT0000508,True,,,True,,,,,,True,True,,
PATT0000509,True,,,True,,,,,,True,,True,
PATT0000510,True,,,True,,,,,,True,,,True
PATT0000511,True,,,True,,,,,,,True,True,
PATT0000512,True,,,True,,,,,,,True,,True
PATT0000513,True,,,True,,,,,,,,True,True
PATT0000514,True,,,,True,True,True,,,,,,
PATT0000515,True,,,,True,True,,True,,,,,
PATT0000516,True,,,,True,True,,,True,,,,
PATT0000517,True,,,,True,True,,,,True,,,
PATT0000518,True,,,,True,True,,,,,True,,
PATT0000519,True,,,,True,True,,,,,,True,
PATT0000520,True,,,,True,True,,,,,,,True
PATT0000521,True,,,,True,,True,True,,,,,
PATT0000522,True,,,,True,,True,,True,,,,
PATT0000523,True,,,,True,,True,,,True,,,
PATT0000524,True,,,,True,,True,,,,True,,
PATT0000525,True,,,,True,,True,,,,,True,
PATT0000526,True,,,,True,,True,,,,,,True
PATT0000527,True,,,,True,,,True,True,,,,
PATT0000528,True,,,,True,,,True,,True,,,
PATT0000529,True,,,,True,,,True,,,True,,
PATT0000530,True,,,,True,,,True,,,,True,
PATT0000531,True,,,,True,,,True,,,,,True
PATT0000532,True,,,,True,,,,True,True,,,
PATT0000533,True,,,,True,,,,True,,True,,
PATT0000534,True,,,,True,,,,True,,,True,
PATT0000535,True,,,,True,,,,True,,,,True
PATT0000536,True,,,,True,,,,,True,True,,
PATT0000537,True,,,,True,,,,,True,,True,
PATT0000538,True,,,,True,,,,,True,,,True
PATT0000539,True,,,,True,,,,,,True,True,
PATT0000540,True,,,,True,,,,,,True,,True
PATT0000541,True,,,,True,,,,,,,True,True
PATT0000542,True,,,,,True,True,True,,,,,
PATT0000543,True,,,,,True,True,,True,,,,
PATT0000544,True,,,,,True,True,,,True,,,
PATT0000545,True,,,,,True,True,,,,True,,
PATT0000546,True,,,,,True,True,,,,,True,
PATT0000547,True,,,,,True,True,,,,,,True
PATT0000548,True,,,,,True,,True,True,,,,
PATT0000549,True,,,,,True,,True,,True,,,
PATT0000550,True,,,,,True,,True,,,True,,
PATT0000551,True,,,,,True,,True,,,,True,
PATT0000552,True,,,,,True,,True,,,,,True
PATT0000553,True,,,,,True,,,True,True,,,
PATT0000554,True,,,,,True,,,True,,True,,
PATT0000555,True,,,,,True,,,True,,,True,
PATT0000556,True,,,,,True,,,True,,,,True
PATT0000557,True,,,,,True,,,,True,True,,
PATT0000558,True,,,,,True,,,,True,,True,
PATT0000559,True,,,,,True,,,,True,,,True
PATT0000560,True,,,,,True,,,,,True,True,
PATT0000561,True,,,,,True,,,,,True,,True
PATT0000562,True,,,,,True,,,,,,True,True
PATT0000563,True,,,,,,True,True,True,,,,
PATT0000564,True,,,,,,True,True,,True,,,
PATT0000565,True,,,,,,True,True,,,True,,
PATT0000566,True,,,,,,True,True,,,,True,
PATT0000567,True,,,,,,True,True,,,,,True
PATT0000568,True,,,,,,True,,True,True,,,
PATT0000569,True,,,,,,True,,True,,True,,
PATT0000570,True,,,,,,True,,True,,,True,
PATT0000571,True,,,,,,True,,True,,,,True
PATT0000572,True,,,,,,True,,,True,True,,
PATT0000573,True,,,,,,True,,,True,,True,
PATT0000574,True,,,,,,True,,,True,,,True
PATT0000575,True,,,,,,True,,,,True,True,
PATT0000576,True,,,,,,True,,,,True,,True
PATT0000577,True,,,,,,True,,,,,True,True
PATT0000578,True,,,,,,,True,True,True,,,
PATT0000579,True,,,,,,,True,True,,True,,
PATT0000580,True,,,,,,,True,True,,,True,
PATT0000581,True,,,,,,,True,True,,,,True
PATT0000582,True,,,,,,,True,,True,True,,
PATT0000583,True,,,,,,,True,,True,,True,
PATT0000584,True,,,,,,,True,,True,,,True
PATT0000585,True,,,,,,,True,,,True,True,
PATT0000586,True,,,,,,,True,,,True,,True
PATT0000587,True,,,,,,,True,,,,True,True
PATT0000588,True,,,,,,,,True,True,True,,
PATT0000589,True,,,,,,,,True,True,,True,
PATT0000590,True,,,,,,,,True,True,,,True
PATT0000591,True,,,,,,,,True,,True,True,
PATT0000592,True,,,,,,,,True,,True,,True
PATT0000593,True,,,,,,,,True,,,True,True
PATT0000594,True,,,,,,,,,True,True,True,
PATT0000595,True,,,,,,,,,True,True,,True
PATT0000596,True,,,,,,,,,True,,True,True
PATT0000597,True,,,,,,,,,,True,True,True
PATT0000598,,True,True,True,True,,,,,,,,
