	count	mean	std	min	25%	50%	75%	max
saturn	34.0	6916.85294117647	4773.28105904392	1594.0	3164.25	5210.0	9866.25	20321.0
infiniti	63.0	11425.142857142857	7688.338284443322	1385.0	6156.0	8348.0	15719.0	38730.0
MINI	2.0	3719.5	1406.4353877800431	2725.0	3222.25	3719.5	4216.75	4714.0
mercury	137.0	5676.598540145986	4256.235860233668	1231.0	3277.0	4540.0	6404.0	24778.0
cadillac	175.0	12853.84	9054.456683662573	1204.0	6008.0	9976.0	18104.0	42661.0
MERCEDES-BENZ	26.0	12858.192307692309	8776.287360925373	1033.0	6108.5	10338.0	20337.75	32855.0
pontiac	138.0	7919.391304347826	5454.028374513359	1508.0	4647.0	6591.5	8930.0	33341.0
acura	195.0	8171.933333333333	7049.430410613992	1082.0	3657.0	6307.0	8678.5	36527.0
HONDA	197.0	9126.710659898477	6523.366902718858	1266.0	4962.0	7357.0	10682.0	39047.0
ACURA	24.0	5524.958333333333	3095.6747171998136	1182.0	3165.5	5720.5	7565.75	12789.0
KIA	62.0	10733.048387096775	6865.381534960102	2003.0	6645.25	8114.0	13388.75	32615.0
fiat	40.0	9081.625	6800.716684282017	1563.0	5012.0	6987.0	10583.5	35785.0
jaguar	11.0	18994.0	11326.403047746448	7336.0	11604.5	16517.0	22989.5	46158.0
ｒａｍ	21.0	25072.52380952381	14870.560038610001	5200.0	16257.0	20787.0	31907.0	71360.0
mini	34.0	8056.441176470588	5077.653921341999	2773.0	3671.0	7516.5	8831.5	20199.0
LEXUS	16.0	12711.6875	8449.902190508874	3467.0	6184.75	8577.5	19845.25	28365.0
VOLKSWAGEN	70.0	8344.028571428571	4438.5488259487765	2967.0	4880.0	7075.0	10044.25	20028.0
ｋｉａ	14.0	9642.857142857143	3520.669557324023	5864.0	7480.5	9145.0	9939.0	19442.0
SUBARU	32.0	13111.59375	7746.0716114868355	3835.0	6634.5	9589.5	21657.25	28518.0
ｎｉｓｓａｎ	19.0	10076.21052631579	6305.3730489598875	4028.0	5958.5	6758.0	14102.0	25529.0
DODGE	44.0	12809.772727272728	9898.138605521879	1781.0	5472.75	9228.5	19914.5	47188.0
volvo	49.0	10533.632653061224	8183.633750495246	2285.0	5807.0	7808.0	11067.0	46915.0
HYUNDAI	44.0	7317.590909090909	4381.2734228186255	1007.0	4427.75	6248.0	9019.5	21889.0
MAZDA	26.0	7391.192307692308	4875.228618386882	1737.0	4317.25	6041.5	8606.25	22233.0
ｈｏｎｄａ	19.0	10210.578947368422	7271.834709004855	2456.0	5222.5	6719.0	14185.5	26299.0
ｍａｚｄａ	5.0	8604.8	5983.292087137314	4085.0	4811.0	7313.0	7904.0	18911.0
INFINITI	9.0	16857.222222222223	9462.339810767971	4179.0	10069.0	20991.0	23463.0	29625.0
CADILLAC	26.0	10455.115384615385	5796.2588715613665	2107.0	6415.75	8123.0	15245.5	27009.0
JEEP	122.0	15431.22131147541	10612.611010243834	1415.0	6705.25	12462.5	22050.25	58474.0
LINCOLN	16.0	7821.0625	6723.044939794766	1969.0	3529.5	6969.5	7968.5	26973.0
ｔｏｙｏｔａ	29.0	9497.51724137931	6777.683926053046	1844.0	6053.0	7147.0	10076.0	31687.0
niѕsan	2.0	5847.0	5345.7272657703	2067.0	3957.0	5847.0	7737.0	9627.0
AUDI	28.0	15155.92857142857	6567.2436177935215	4806.0	10536.25	15027.5	20221.0	27933.0
ＶＯＬＫＳＷＡＧＥＮ	3.0	11995.666666666666	5461.839830435651	8393.0	8853.5	9314.0	13797.0	18280.0
ＣＨＥＶＲＯＬＥＴ	7.0	14281.42857142857	8454.414761080801	1878.0	8008.5	18426.0	19780.0	24089.0
MERCURY	15.0	6481.266666666666	7899.575942205168	1013.0	2820.0	3432.0	5465.0	26209.0
ｂｕｉｃｋ	7.0	12094.142857142857	5696.9915870446175	3537.0	8519.5	11634.0	16408.5	19632.0
ROVER	4.0	16692.25	3846.989331498941	11382.0	15367.5	17506.0	18830.75	20375.0
ｄｏｄｇｅ	5.0	28109.2	19778.223952114608	3778.0	10875.0	35487.0	40910.0	49496.0
porsche	12.0	20717.75	9507.877749290561	4753.0	15734.5	23720.0	25542.25	38968.0
ｖｏｌｖｏ	3.0	12905.666666666666	3520.1251871678273	8873.0	11677.0	14481.0	14922.0	15363.0
ｖｏｌｋｓｗａｇｅｎ	8.0	8628.375	3342.8237395309116	5047.0	6472.0	7926.0	9365.0	15150.0
JAGUAR	1.0	10655.0		10655.0	10655.0	10655.0	10655.0	10655.0
SATURN	6.0	8195.333333333334	3664.1065304746076	3179.0	5720.0	8329.5	11005.75	12586.0
ｊｅｅｐ	17.0	14247.117647058823	8873.894303534053	4255.0	5693.0	12586.0	21964.0	27272.0
rover	14.0	15686.642857142857	6126.0975733350815	6871.0	11150.25	16709.5	19694.75	27367.0
ｓｕｂａｒｕ	4.0	15848.5	6960.802515993875	6814.0	12775.0	16645.0	19718.5	23290.0
CHRYSLER	20.0	10251.35	6553.259657163794	2735.0	5226.5	8403.5	13141.5	24918.0
PONTIAC	6.0	13044.166666666666	9433.176928620955	2996.0	5321.75	11784.0	20974.0	24496.0
ｍｉｔｓｕｂｉｓｈｉ	4.0	16173.25	8246.780033241257	5222.0	13068.5	17271.5	20376.25	24928.0
ＴＯＹＯＴＡ	1.0	21879.0		21879.0	21879.0	21879.0	21879.0	21879.0
ＢＭＷ	6.0	10214.333333333334	7550.582935553166	3252.0	5443.5	6566.0	15886.75	20839.0
ｃｈｒｙｓｌｅｒ	6.0	6200.166666666667	2195.9294539366847	3303.0	5051.0	5746.5	7759.0	9156.0
nisѕan	1.0	7982.0		7982.0	7982.0	7982.0	7982.0	7982.0
MITSUBISHI	19.0	9640.263157894737	8399.776576672246	1494.0	4665.0	6427.0	13936.5	26946.0
ｈｙｕｎｄａｉ	11.0	6067.636363636364	1615.4322810150397	3354.0	5089.0	6130.0	7146.5	8396.0
ｇｍｃ	4.0	27274.75	17785.692327917215	16056.0	16811.25	19706.5	30170.0	53630.0
ＦＯＲＤ	9.0	18525.333333333332	9359.75706148402	3023.0	14809.0	20409.0	23446.0	33158.0
ＨＹＵＮＤＡＩ	2.0	4653.0	2320.724455854249	3012.0	3832.5	4653.0	5473.5	6294.0
ＭＡＺＤＡ	2.0	4831.5	1984.848734790639	3428.0	4129.75	4831.5	5533.25	6235.0
land rover	2.0	28786.0	8058.188878401896	23088.0	25937.0	28786.0	31635.0	34484.0
VOLVO	8.0	9641.75	7068.368123447691	3582.0	5612.75	8066.0	9986.5	25607.0
aston-martin	2.0	12479.0	12850.958641284315	3392.0	7935.5	12479.0	17022.5	21566.0
ａｃｕｒａ	3.0	10971.333333333334	8006.958556988623	5420.0	6382.0	7344.0	13747.0	20150.0
ｌｅｘｕｓ	3.0	6317.666666666667	3725.5346372478316	3206.0	4253.5	5301.0	7873.5	10446.0
SUBΑRU	2.0	8823.5	317.49094475275984	8599.0	8711.25	8823.5	8935.75	9048.0
ｓａｔｕｒｎ	1.0	4451.0		4451.0	4451.0	4451.0	4451.0	4451.0
alfa-romeo	4.0	17884.25	13253.269367090774	5711.0	7522.25	16168.5	26530.5	33489.0
ａｕｄｉ	4.0	15597.25	6687.333119413149	10182.0	12582.75	13422.0	16436.5	25363.0
ＳＵＢＡＲＵ	2.0	12889.0	14028.998538741103	2969.0	7929.0	12889.0	17849.0	22809.0
ｍｅｒｃｅｄｅｓ－ｂｅｎｚ	1.0	29945.0		29945.0	29945.0	29945.0	29945.0	29945.0
ｃａｄｉｌｌａｃ	2.0	16333.5	11325.729314264932	8325.0	12329.25	16333.5	20337.75	24342.0
ｉｎｆｉｎｉｔｉ	1.0	20549.0		20549.0	20549.0	20549.0	20549.0	20549.0
toyotа	2.0	2616.5	161.92745289171938	2502.0	2559.25	2616.5	2673.75	2731.0
ＤＯＤＧＥ	1.0	18354.0		18354.0	18354.0	18354.0	18354.0	18354.0
SΑTURN	1.0	7587.0		7587.0	7587.0	7587.0	7587.0	7587.0
ＣＡＤＩＬＬＡＣ	1.0	24123.0		24123.0	24123.0	24123.0	24123.0	24123.0
ＲＡＭ	2.0	26850.5	8422.348870712967	20895.0	23872.75	26850.5	29828.25	32806.0
ＭＩＴＳＵＢＩＳＨＩ	1.0	13765.0		13765.0	13765.0	13765.0	13765.0	13765.0
ＢＵＩＣＫ	1.0	8096.0		8096.0	8096.0	8096.0	8096.0	8096.0
ｐｏｎｔｉａｃ	1.0	6208.0		6208.0	6208.0	6208.0	6208.0	6208.0
ＡＣＵＲＡ	1.0	7060.0		7060.0	7060.0	7060.0	7060.0	7060.0
ＪＥＥＰ	2.0	4380.5	1338.5531367861345	3434.0	3907.25	4380.5	4853.75	5327.0
ＭＩＮＩ	1.0	6319.0		6319.0	6319.0	6319.0	6319.0	6319.0
аcura	1.0	14878.0		14878.0	14878.0	14878.0	14878.0	14878.0
vоlkswagen	1.0	4997.0		4997.0	4997.0	4997.0	4997.0	4997.0
FIAT	3.0	3238.3333333333335	1582.9486199284338	1561.0	2504.5	3448.0	4077.0	4706.0
ｍｅｒｃｕｒｙ	2.0	2314.5	939.7449121969216	1650.0	1982.25	2314.5	2646.75	2979.0
lexuѕ	1.0	16867.0		16867.0	16867.0	16867.0	16867.0	16867.0
ＮＩＳＳＡＮ	2.0	13793.0	13316.234903305063	4377.0	9085.0	13793.0	18501.0	23209.0
ＭＥＲＣＵＲＹ	1.0	6302.0		6302.0	6302.0	6302.0	6302.0	6302.0
ᴄhrysler	1.0	5192.0		5192.0	5192.0	5192.0	5192.0	5192.0
