id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
27584,rochester,2009,ram,excellent,8 cylinders,diesel,54441,clean,automatic,4wd,full-size,truck,black,,31276.201660492967
27585,hawaii,2016,toyota,good,4 cylinders,gas,89304,clean,manual,fwd,compact,hatchback,green,hi,6088.951270255514
27586,buffalo,2006,bmw,excellent,6 cylinders,gas,132016,clean,automatic,4wd,mid-size,sedan,silver,ny,9619.33277399043
27587,detroit metro,2009,mercedes-benz,good,6 cylinders,gas,152346,clean,automatic,fwd,mid-size,coupe,black,mi,7157.679736916265
27588,merced,2011,ford,excellent,6 cylinders,gas,86512,clean,automatic,fwd,compact,coupe,white,ca,11195.018532493717
27589,north jersey,2013,chevrolet,excellent,4 cylinders,gas,125045,rebuilt,automatic,fwd,full-size,SUV,black,nj,11649.655145264871
27590,greenville / upstate,2009,lincoln,like new,4 cylinders,,110269,clean,automatic,4wd,mid-size,sedan,grey,sc,12330.48358665118
27591,denver,2018,ford,good,8 cylinders,gas,30472,clean,automatic,rwd,full-size,truck,black,co,19346.48197384734
27592,madison,2015,CHEVROLET,good,8 cylinders,gas,19975,clean,automatic,fwd,full-size,van,black,wi,13526.517624891858
27593,new haven,2015,mitsubishi,excellent,4 cylinders,gas,192924,clean,automatic,fwd,mid-size,hatchback,blue,ct,7825.864792750135
27594,wichita,2016,chevrolet,like new,8 cylinders,gas,66944,rebuilt,automatic,fwd,full-size,SUV,black,ks,15669.588065371609
27595,tampa bay area,2013,buick,excellent,6 cylinders,gas,149889,clean,automatic,fwd,mid-size,sedan,grey,fl,7276.09589834508
27596,seattle-tacoma,2002,nissan,good,6 cylinders,gas,182250,clean,automatic,fwd,mid-size,van,white,wa,5613.48090706799
27597,hattiesburg,2015,honda,good,4 cylinders,hybrid,145143,clean,automatic,fwd,full-size,sedan,black,ms,5863.065231989796
27598,tampa bay area,2011,chevrolet,excellent,6 cylinders,,111263,clean,manual,fwd,full-size,SUV,black,fl,10962.308348675615
27599,"washington, DC",2009,chevrolet,good,8 cylinders,gas,94443,rebuilt,automatic,4wd,full-size,truck,silver,dc,14909.44520493974
27600,austin,2007,subaru,excellent,6 cylinders,gas,157949,clean,automatic,fwd,mid-size,SUV,silver,tx,8287.155001301813
27601,boston,1988,ford,fair,6 cylinders,gas,160587,clean,manual,fwd,mid-size,coupe,green,ma,3358.156424131736
27602,orlando,2011,toyota,excellent,4 cylinders,,165260,clean,automatic,4wd,mid-size,SUV,silver,fl,10099.389014087668
27603,mendocino county,2008,CADILLAC,good,8 cylinders,gas,115369,clean,automatic,4wd,full-size,sedan,black,ca,9475.431074540184
27604,roseburg,2013,VOLKSWAGEN,excellent,4 cylinders,gas,175384,clean,automatic,fwd,compact,sedan,red,or,4732.341389000405
27605,stockton,2007,ford,excellent,6 cylinders,gas,183531,clean,automatic,fwd,full-size,van,silver,ca,7068.022458221465
27606,colorado springs,1989,acura,good,6 cylinders,gas,174217,clean,automatic,rwd,mid-size,sedan,black,co,4871.927361790951
27607,hawaii,2018,honda,like new,4 cylinders,gas,28593,rebuilt,other,fwd,full-size,sedan,black,,13898.070184239728
27608,lincoln,2016,ford,excellent,4 cylinders,gas,44937,clean,automatic,fwd,mid-size,coupe,black,ne,14530.884240551472
27609,SF bay area,2018,nissan,excellent,4 cylinders,gas,50183,lien,automatic,fwd,full-size,sedan,grey,ca,12355.187013582994
27610,louisville,2006,ram,excellent,8 cylinders,gas,109698,clean,automatic,4wd,full-size,truck,silver,ky,16912.302599535957
27611,minneapolis / st paul,2008,chevrolet,good,4 cylinders,gas,119251,salvage,automatic,fwd,mid-size,SUV,red,mn,7591.806263006103
27612,vermont,2008,chevrolet,excellent,4 cylinders,gas,227010,clean,automatic,4wd,full-size,sedan,green,vt,6026.843618307488
27613,albany,2014,ford,good,4 cylinders,gas,91690,rebuilt,automatic,fwd,mid-size,coupe,blue,ny,10683.69711771491
27614,utica-rome-oneida,1983,chevrolet,excellent,8 cylinders,diesel,104130,clean,automatic,4wd,full-size,truck,black,ny,18110.724542303855
27615,"washington, DC",2012,toyota,excellent,4 cylinders,gas,88742,clean,automatic,fwd,mid-size,hatchback,white,dc,11050.646682135886
27616,albany,2012,chevrolet,like new,8 cylinders,diesel,143895,,automatic,rwd,full-size,,black,ny,16665.202949715254
27617,albany,2001,LEXUS,excellent,4 cylinders,gas,134369,clean,automatic,fwd,mid-size,SUV,black,ny,8446.986718662676
27618,western slope,1996,JEEP,new,6 cylinders,gas,18794,clean,automatic,rwd,mid-size,SUV,blue,co,18082.230199428897
27619,bakersfield,2012,chevrolet,excellent,6 cylinders,gas,93737,rebuilt,automatic,4wd,full-size,SUV,black,ca,18077.906771857084
27620,boise,1995,ford,good,8 cylinders,diesel,237675,clean,manual,4wd,full-size,pickup,silver,id,7688.266528839969
27621,central NJ,2003,ford,excellent,6 cylinders,gas,115335,clean,manual,rwd,full-size,pickup,white,nj,14853.457787930443
27622,charlotte,2010,TOYOTA,fair,6 cylinders,gas,202241,clean,automatic,rwd,mid-size,pickup,red,nc,5497.236710094473
27623,"washington, DC",2007,bmw,good,6 cylinders,gas,130584,clean,other,4wd,sub-compact,coupe,silver,dc,8098.138163574232
27624,charlotte,2016,chevrolet,excellent,6 cylinders,,131941,rebuilt,automatic,fwd,mid-size,SUV,white,nc,12713.011425816452
27625,new haven,2010,toyota,excellent,8 cylinders,gas,174081,rebuilt,automatic,fwd,full-size,pickup,black,ct,8740.45737173897
27626,asheville,2011,TOYOTA,excellent,6 cylinders,gas,196732,clean,manual,fwd,full-size,coupe,black,nc,6185.8516737875525
27627,san antonio,2008,bmw,excellent,6 cylinders,gas,112290,clean,manual,4wd,full-size,SUV,black,tx,13062.60818404056
27628,tampa bay area,2001,ford,excellent,6 cylinders,gas,178925,clean,automatic,fwd,mid-size,mini-van,white,fl,7013.05500126263
27629,los angeles,2015,chevrolet,excellent,8 cylinders,gas,61164,clean,automatic,rwd,full-size,sedan,silver,ca,14161.717935460394
27630,tucson,2002,ford,good,8 cylinders,diesel,158521,clean,automatic,4wd,full-size,truck,green,az,10518.860312818022
27631,rochester,1984,ford,excellent,8 cylinders,diesel,174169,clean,manual,4wd,full-size,pickup,blue,ny,12696.905524178086
27632,omaha / council bluffs,1969,bmw,like new,6 cylinders,gas,98942,clean,automatic,fwd,full-size,sedan,green,ia,5236.786185429713
27633,long island,2012,bmw,good,6 cylinders,gas,110267,clean,automatic,fwd,full-size,sedan,black,ny,7030.717497903366
27634,topeka,1986,chevrolet,fair,8 cylinders,gas,216257,clean,automatic,rwd,full-size,truck,green,ks,4148.3658083103355
27635,cleveland,2005,jeep,like new,6 cylinders,diesel,125013,clean,manual,4wd,full-size,truck,white,,20471.34651372025
27636,palm springs,2011,nissan,excellent,6 cylinders,gas,78959,clean,automatic,fwd,mid-size,sedan,white,ca,9927.106600116053
27637,greensboro,2015,bmw,excellent,6 cylinders,gas,47087,clean,automatic,rwd,mid-size,sedan,black,nc,15428.662696256884
27638,york,1999,volkswagen,excellent,4 cylinders,gas,120361,clean,automatic,fwd,compact,sedan,orange,pa,5225.895385989709
27639,tampa bay area,2014,toyota,good,8 cylinders,gas,144250,clean,automatic,fwd,full-size,SUV,grey,fl,6703.701585495152
27640,south coast,2004,chevrolet,fair,6 cylinders,gas,115379,parts only,manual,4wd,full-size,pickup,green,ma,7444.031095118891
27641,fredericksburg,2009,GMC,good,6 cylinders,gas,197624,rebuilt,other,fwd,full-size,SUV,black,va,6012.413864223847
27642,"st louis, MO",2001,ram,excellent,8 cylinders,gas,143742,clean,automatic,4wd,full-size,SUV,black,mo,13005.3065252252
27643,denver,1996,chevrolet,excellent,8 cylinders,gas,174953,clean,manual,rwd,full-size,truck,blue,co,10769.71052745052
27644,"washington, DC",2010,kia,excellent,4 cylinders,gas,132355,clean,automatic,fwd,compact,sedan,silver,dc,6330.174701279724
27645,"st louis, MO",2013,ford,excellent,8 cylinders,gas,70818,clean,automatic,rwd,full-size,coupe,white,mo,16896.196773567102
27646,las vegas,2003,bmw,like new,6 cylinders,gas,37670,clean,automatic,4wd,mid-size,SUV,blue,nv,19289.224229445554
27647,raleigh / durham / CH,2013,ford,excellent,6 cylinders,gas,124284,clean,automatic,4wd,full-size,SUV,black,,14145.481447746093
27648,rockford,2012,ram,excellent,8 cylinders,diesel,148947,clean,automatic,4wd,full-size,pickup,red,il,18750.10653536935
27649,hartford,1993,chevrolet,good,4 cylinders,,147171,rebuilt,manual,4wd,full-size,SUV,black,ct,9970.522618641631
27650,"st louis, MO",2006,bmw,excellent,6 cylinders,gas,107067,clean,automatic,rwd,mid-size,sedan,black,mo,10987.182882758209
27651,san antonio,1999,BMW,excellent,6 cylinders,gas,146082,clean,automatic,fwd,full-size,SUV,black,tx,7761.501453295991
27652,southwest VA,2012,bmw,excellent,8 cylinders,gas,63196,clean,automatic,rwd,full-size,coupe,grey,,15124.936620704171
27653,syracuse,2008,toyota,fair,6 cylinders,gas,-1,clean,other,4wd,full-size,SUV,white,ny,14217.504650569188
27654,the thumb,2015,lincoln,excellent,4 cylinders,,284197,clean,manual,4wd,full-size,sedan,black,mi,5638.4296650018905
27655,mcallen / edinburg,2000,ford,excellent,6 cylinders,gas,75028,rebuilt,manual,fwd,mid-size,SUV,black,tx,12378.389497328446
27656,el paso,2020,bmw,excellent,4 cylinders,gas,12669,clean,automatic,fwd,compact,sedan,silver,,12224.155547095594
27657,houston,1971,ram,excellent,8 cylinders,gas,63767,missing,manual,4wd,full-size,pickup,blue,tx,15145.6229668666
27658,south florida,2010,gmc,good,6 cylinders,gas,168680,clean,automatic,fwd,mid-size,truck,white,fl,7801.568286423699
27659,new york city,2017,volkswagen,excellent,4 cylinders,gas,24076,salvage,automatic,fwd,mid-size,sedan,silver,ny,10241.699672584215
27660,austin,2005,volkswagen,excellent,4 cylinders,gas,249986,clean,automatic,fwd,full-size,sedan,white,tx,4026.051460112976
27661,tallahassee,2020,honda,excellent,4 cylinders,gas,3456,rebuilt,automatic,fwd,compact,sedan,black,fl,13873.343464987078
27662,central NJ,2010,chevrolet,excellent,4 cylinders,gas,173294,clean,manual,fwd,compact,SUV,silver,nj,6894.607489936191
27663,milwaukee,2014,FORD,excellent,4 cylinders,gas,177214,clean,manual,4wd,full-size,truck,white,wi,13813.3659961082
27664,cleveland,2009,jeep,excellent,6 cylinders,gas,144756,clean,other,fwd,mid-size,SUV,blue,oh,8769.130943586917
27665,evansville,2005,chevrolet,fair,4 cylinders,gas,246646,clean,automatic,fwd,full-size,sedan,red,in,2901.9062236040563
27666,phoenix,1988,ford,like new,6 cylinders,gas,42103,clean,automatic,rwd,full-size,pickup,white,az,19344.633169570887
27667,monterey bay,2011,honda,excellent,4 cylinders,gas,116685,clean,automatic,fwd,mid-size,sedan,white,ca,8274.916499526273
27668,san diego,1988,honda,fair,4 cylinders,gas,149300,rebuilt,automatic,fwd,compact,wagon,green,ca,3016.9364057176813
27669,SF bay area,2015,chevrolet,excellent,4 cylinders,gas,121486,salvage,automatic,fwd,full-size,sedan,blue,ca,9384.879788093856
27670,syracuse,2017,chevrolet,like new,8 cylinders,diesel,9557,rebuilt,automatic,rwd,full-size,pickup,black,,38665.66809816856
27671,south florida,2007,BMW,excellent,4 cylinders,gas,92062,clean,automatic,fwd,compact,coupe,silver,fl,8648.567167943707
27672,rockford,1999,honda,good,6 cylinders,gas,221041,clean,manual,fwd,full-size,SUV,white,il,4287.63813504887
27673,central NJ,2004,ford,good,6 cylinders,gas,191941,clean,automatic,fwd,full-size,SUV,silver,nj,5283.012234730939
27674,"washington, DC",2004,ford,fair,8 cylinders,gas,104323,clean,manual,4wd,full-size,pickup,blue,dc,9979.96258683209
27675,cleveland,2006,bmw,excellent,6 cylinders,gas,154460,clean,automatic,rwd,full-size,sedan,silver,oh,8187.855710385729
27676,oklahoma city,2017,bmw,excellent,6 cylinders,gas,75711,rebuilt,automatic,4wd,mid-size,coupe,black,ok,18108.691751682032
27677,nashville,2005,ford,good,8 cylinders,gas,166414,clean,automatic,fwd,full-size,coupe,white,tn,6448.1331966121215
27678,los angeles,2015,jeep,like new,6 cylinders,gas,45248,clean,automatic,4wd,full-size,SUV,black,ca,19996.31257453565
27679,hawaii,2016,chevrolet,good,8 cylinders,,22501,clean,automatic,rwd,full-size,truck,white,hi,22068.033626866363
27680,albany,1996,gmc,good,8 cylinders,gas,197922,clean,manual,4wd,full-size,SUV,white,ny,6832.623478026347
27681,new york city,2009,ｆｏｒｄ,excellent,6 cylinders,gas,215640,clean,manual,4wd,mid-size,SUV,silver,ny,8321.89180236741
27682,lawrence,1980,mazda,good,4 cylinders,gas,100888,clean,automatic,fwd,mid-size,sedan,white,ks,5579.727546893848
27683,tallahassee,2013,pontiac,excellent,6 cylinders,gas,192154,clean,manual,fwd,mid-size,sedan,silver,fl,4929.30080786647
27684,wilmington,2012,chevrolet,excellent,8 cylinders,diesel,60692,salvage,automatic,4wd,full-size,pickup,red,de,24295.725399830346
27685,dallas / fort worth,2009,ford,excellent,8 cylinders,gas,135003,clean,automatic,rwd,full-size,truck,white,tx,14948.319548623269
27686,inland empire,2003,BMW,excellent,6 cylinders,gas,123137,clean,automatic,rwd,full-size,coupe,silver,ca,10242.938802716715
27687,detroit metro,2010,JAGUAR,good,6 cylinders,gas,192232,clean,other,4wd,full-size,sedan,red,,8734.734147321167
27688,pittsburgh,2012,bmw,excellent,6 cylinders,,25290,rebuilt,automatic,4wd,mid-size,SUV,black,pa,23228.605464448505
27689,tucson,2009,ｃｈｅｖｒｏｌｅｔ,excellent,6 cylinders,gas,142983,clean,automatic,fwd,full-size,sedan,black,az,7996.24385649392
27690,cape cod / islands,2002,bmw,fair,6 cylinders,gas,148701,clean,manual,rwd,mid-size,sedan,silver,ma,5086.171689538516
27691,dubuque,2007,chevrolet,excellent,4 cylinders,gas,71074,clean,manual,fwd,mid-size,sedan,blue,ia,10963.909578153132
27692,"washington, DC",2012,bmw,like new,6 cylinders,,78765,clean,automatic,fwd,mid-size,sedan,black,dc,10859.412452599434
27693,central NJ,2016,toyota,fair,4 cylinders,gas,138312,clean,automatic,4wd,full-size,SUV,blue,nj,8107.410829908278
27694,"st louis, MO",2010,toyota,excellent,4 cylinders,gas,136342,clean,automatic,fwd,full-size,sedan,black,mo,7378.07363122703
27695,gold country,2018,jeep,like new,6 cylinders,gas,90410,lien,automatic,4wd,full-size,SUV,green,ca,14732.066366606752
27696,phoenix,1991,bmw,like new,8 cylinders,gas,101582,clean,automatic,rwd,mid-size,coupe,red,az,10436.237285097586
27697,spokane / coeur d'alene,1997,RAM,fair,8 cylinders,diesel,213137,clean,automatic,4wd,full-size,truck,silver,id,8302.28308090683
27698,saginaw-midland-baycity,2004,chevrolet,good,6 cylinders,gas,125005,clean,manual,rwd,full-size,coupe,black,mi,9535.880613314821
27699,sacramento,2006,TOYOTA,excellent,4 cylinders,gas,152301,rebuilt,automatic,fwd,compact,sedan,silver,ca,6238.2800421787915
27700,south coast,2018,chevrolet,good,8 cylinders,diesel,61109,clean,automatic,4wd,full-size,truck,green,ma,18856.45665852495
27701,show low,2015,rover,like new,6 cylinders,gas,66536,clean,automatic,4wd,mid-size,SUV,custom,az,19052.35451086273
27702,rochester,1996,ford,fair,6 cylinders,gas,104166,clean,automatic,rwd,full-size,pickup,black,ny,9002.075291142013
27703,albuquerque,2001,ford,good,6 cylinders,gas,143517,missing,manual,4wd,full-size,SUV,green,nm,6933.637567927428
27704,upper peninsula,2000,chevrolet,excellent,6 cylinders,gas,24646,clean,automatic,rwd,full-size,van,white,mi,20468.65774857175
27705,south jersey,1993,ford,excellent,6 cylinders,gas,68886,clean,automatic,rwd,full-size,pickup,blue,nj,16483.558150746943
27706,orlando,2013,bmw,excellent,6 cylinders,gas,87464,clean,automatic,4wd,full-size,SUV,black,fl,15574.593849136985
27707,el paso,2013,ford,excellent,4 cylinders,gas,144183,clean,automatic,fwd,mid-size,sedan,grey,tx,8143.94109497694
27708,harrisonburg,2008,toyota,good,4 cylinders,gas,80918,clean,manual,fwd,compact,hatchback,silver,va,6894.477902350074
27709,wichita,2003,honda,good,4 cylinders,gas,127291,clean,automatic,fwd,mid-size,SUV,silver,ks,6031.757640348059
27710,las vegas,2015,bmw,excellent,6 cylinders,gas,80206,clean,automatic,rwd,mid-size,truck,blue,,18598.369348107946
27711,hickory / lenoir,1963,ford,fair,8 cylinders,gas,149526,missing,automatic,rwd,full-size,coupe,black,nc,4421.380562391358
27712,new york city,2019,nissan,like new,4 cylinders,gas,34075,clean,automatic,fwd,mid-size,SUV,blue,ny,15399.753714308023
27713,reno / tahoe,2015,audi,excellent,6 cylinders,gas,115697,clean,automatic,4wd,full-size,SUV,silver,ca,15624.051081431488
27714,madison,2005,jeep,excellent,6 cylinders,gas,110111,clean,automatic,fwd,mid-size,SUV,red,wi,8847.826345596422
27715,jacksonville,2018,chevrolet,excellent,6 cylinders,gas,13255,rebuilt,automatic,4wd,full-size,SUV,white,fl,28854.94246198908
27716,minneapolis / st paul,1991,ford,good,8 cylinders,gas,71136,clean,automatic,4wd,full-size,truck,black,mn,13582.644371083748
27717,knoxville,2003,JEEP,excellent,6 cylinders,gas,217470,clean,automatic,fwd,full-size,SUV,green,tn,4643.98138182424
27718,albany,2013,kia,like new,4 cylinders,gas,98042,salvage,automatic,fwd,mid-size,sedan,silver,ny,8497.270279520164
27719,chicago,2012,ford,like new,8 cylinders,diesel,7356,clean,automatic,rwd,full-size,truck,white,il,36767.005113467785
27720,cincinnati,2013,jeep,excellent,6 cylinders,gas,65542,clean,automatic,4wd,mid-size,pickup,black,oh,19302.196023582692
27721,boston,1996,ford,excellent,6 cylinders,gas,154050,clean,automatic,4wd,full-size,SUV,green,ma,8479.998758917216
27722,rapid city / west SD,2009,jeep,fair,6 cylinders,diesel,129596,clean,manual,4wd,full-size,SUV,black,sd,10182.71325743807
27723,tulsa,2011,nissan,excellent,6 cylinders,gas,151060,clean,automatic,rwd,full-size,sedan,black,ok,8783.388938786024
27724,"washington, DC",2014,honda,excellent,4 cylinders,gas,33778,clean,automatic,fwd,mid-size,sedan,black,,11442.932167363262
27725,richmond,2008,ford,excellent,8 cylinders,gas,95649,clean,automatic,4wd,mid-size,pickup,red,va,15531.181259417779
27726,san luis obispo,2015,ford,good,8 cylinders,diesel,69940,clean,automatic,4wd,full-size,truck,white,ca,23381.028771453613
27727,huntington-ashland,1997,chevrolet,good,6 cylinders,gas,174632,clean,automatic,fwd,full-size,SUV,white,ca,6323.667397173656
27728,winston-salem,1986,toyota,fair,4 cylinders,gas,119309,clean,manual,fwd,full-size,SUV,black,nc,4700.297466348012
27729,rochester,2011,chevrolet,excellent,4 cylinders,gas,88709,rebuilt,automatic,fwd,full-size,SUV,blue,ny,13784.15651410267
27730,albuquerque,1967,ford,good,8 cylinders,gas,154136,clean,manual,rwd,full-size,other,green,nm,4824.487700828386
27731,albany,1960,chevrolet,excellent,8 cylinders,,53297,clean,manual,rwd,full-size,coupe,brown,ny,9228.28396670312
27732,st george,2011,ram,like new,8 cylinders,diesel,99457,clean,automatic,4wd,full-size,truck,black,ut,27420.046614056268
27733,north jersey,2016,BMW,excellent,6 cylinders,gas,87567,clean,automatic,rwd,full-size,SUV,white,nj,16109.344211973008
27734,pittsburgh,2014,jeep,excellent,6 cylinders,gas,109558,clean,automatic,4wd,mid-size,SUV,black,pa,14366.241978070713
27735,rochester,2020,RAM,excellent,8 cylinders,gas,114595,clean,automatic,4wd,full-size,truck,blue,ny,20753.44317254239
27736,albany,2015,honda,good,4 cylinders,gas,207765,clean,automatic,fwd,full-size,sedan,white,ny,4616.6577512535805
27737,ventura county,2013,hyundai,excellent,4 cylinders,gas,95938,clean,manual,fwd,compact,SUV,black,ca,7883.376829464142
27738,pittsburgh,2011,jeep,excellent,6 cylinders,gas,159948,clean,automatic,4wd,mid-size,SUV,white,pa,11976.467436020916
27739,richmond,2006,chevrolet,good,8 cylinders,gas,79605,clean,automatic,fwd,full-size,coupe,blue,va,9344.485564054885
27740,eugene,2002,chevrolet,excellent,6 cylinders,gas,14507,clean,automatic,rwd,full-size,van,white,or,21766.856232475493
27741,greensboro,1989,jeep,excellent,6 cylinders,gas,72283,clean,manual,rwd,full-size,SUV,brown,nc,10360.885797311748
27742,memphis,2014,bmw,excellent,6 cylinders,gas,53810,clean,automatic,rwd,mid-size,SUV,black,tn,17339.736654597884
27743,inland empire,2012,toyota,excellent,6 cylinders,gas,117889,clean,manual,4wd,full-size,pickup,black,ca,14142.372117063984
27744,reno / tahoe,2005,buick,excellent,6 cylinders,gas,261088,clean,automatic,4wd,full-size,SUV,brown,ca,5560.579044998859
27745,manhattan,2012,ford,good,6 cylinders,gas,90770,clean,automatic,fwd,full-size,sedan,silver,,7544.399706847995
27746,central NJ,2012,chrysler,excellent,4 cylinders,gas,79780,rebuilt,manual,fwd,mid-size,sedan,black,nj,9198.931793098815
